frame_num,detection_result
0,"{0:((141,1182),(40,38)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((147,270),(32,32)),4:((419,645),(44,39))}"
1,"{0:((142,1183),(38,37)),1:((102,250),(35,34)),2:((428,434),(45,41)),3:((147,271),(32,32)),4:((420,646),(44,39))}"
2,"{0:((142,1182),(39,37)),1:((102,250),(35,34)),2:((428,435),(45,41)),3:((147,271),(32,32)),4:((420,646),(44,39))}"
3,"{0:((142,1183),(39,39)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,271),(32,32)),4:((421,646),(45,39))}"
4,"{0:((141,1182),(40,39)),1:((102,250),(35,34)),2:((428,435),(45,41)),3:((146,272),(32,32)),4:((420,645),(44,39))}"
5,"{0:((142,1182),(39,38)),1:((102,250),(35,34)),2:((428,433),(45,42)),3:((146,272),(32,32)),4:((420,646),(44,39))}"
6,"{0:((142,1182),(39,39)),1:((102,250),(35,34)),2:((428,434),(45,41)),3:((146,272),(32,32)),4:((421,645),(44,39))}"
7,"{0:((141,1182),(40,38)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,273),(32,32)),4:((421,645),(44,39))}"
8,"{0:((141,1183),(40,39)),1:((102,250),(35,34)),2:((428,435),(45,41)),3:((146,272),(32,32)),4:((420,645),(44,40))}"
9,"{0:((142,1183),(37,35)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((420,647),(44,39))}"
10,"{0:((142,1184),(38,36)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((420,646),(44,39))}"
11,"{0:((142,1182),(40,38)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((421,646),(44,40))}"
12,"{0:((142,1183),(39,37)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((421,645),(44,39))}"
13,"{0:((141,1183),(39,37)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((420,645),(44,38))}"
14,"{0:((141,1182),(39,38)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((421,645),(44,39))}"
15,"{1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((420,646),(44,38))}"
16,"{1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((420,645),(44,38))}"
17,"{0:((142,1183),(39,38)),1:((102,250),(35,35)),2:((428,435),(45,41)),3:((146,272),(32,32)),4:((420,646),(44,39))}"
18,"{0:((142,1183),(39,37)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((421,644),(44,40))}"
19,"{0:((142,1181),(39,38)),1:((102,250),(35,34)),2:((428,434),(45,41)),3:((146,272),(32,32)),4:((421,646),(44,39))}"
20,"{0:((142,1184),(39,37)),1:((102,250),(35,34)),2:((428,434),(45,41)),3:((146,272),(32,32)),4:((420,645),(44,39))}"
21,"{0:((141,1182),(40,37)),1:((102,250),(35,34)),2:((428,434),(45,41)),3:((146,272),(32,32)),4:((420,646),(44,39))}"
22,"{0:((142,1182),(39,37)),1:((102,250),(35,34)),2:((428,434),(45,41)),3:((146,272),(32,32)),4:((420,645),(44,40))}"
23,"{0:((141,1182),(40,39)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((421,646),(44,39))}"
24,"{0:((142,1181),(39,39)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((421,645),(44,39))}"
25,"{0:((141,1182),(39,38)),1:((102,250),(35,34)),2:((428,436),(45,41)),3:((146,272),(32,32)),4:((420,646),(44,39))}"
26,"{0:((143,1181),(39,39)),1:((102,250),(35,35)),2:((428,434),(45,42)),3:((146,271),(32,32)),4:((419,646),(43,39))}"
27,"{0:((142,1182),(39,37)),1:((102,250),(35,34)),2:((428,435),(45,42)),3:((146,272),(32,32)),4:((420,647),(44,38))}"
28,"{0:((142,1181),(39,38)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((419,645),(44,39))}"
29,"{0:((142,1182),(39,37)),1:((102,250),(35,35)),2:((428,434),(45,41)),3:((146,272),(32,32)),4:((421,645),(41,38))}"
30,"{0:((143,1183),(39,37)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((419,646),(44,38))}"
31,"{0:((140,1182),(40,39)),1:((102,250),(35,34)),2:((428,435),(45,41)),3:((146,272),(32,32)),4:((419,646),(44,38))}"
32,"{0:((143,1182),(39,38)),1:((102,250),(35,34)),2:((428,433),(45,42)),3:((146,272),(32,32)),4:((415,635),(44,39))}"
33,"{0:((141,1184),(39,37)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((408,624),(44,39))}"
34,"{0:((141,1183),(39,37)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((401,612),(44,38))}"
35,"{0:((142,1183),(39,39)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((398,601),(42,39))}"
36,"{0:((143,1182),(39,39)),1:((102,250),(35,34)),2:((428,435),(45,41)),3:((146,272),(32,32)),4:((393,591),(40,38))}"
37,"{0:((142,1182),(39,38)),1:((102,250),(35,34)),2:((428,434),(45,41)),3:((146,272),(32,32)),4:((386,585),(43,39))}"
38,"{0:((142,1184),(39,37)),1:((102,250),(35,34)),2:((428,435),(45,41)),3:((146,272),(32,32)),4:((381,573),(44,39))}"
39,"{0:((142,1183),(40,37)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((376,565),(43,39))}"
40,"{0:((142,1183),(38,37)),1:((102,250),(34,34)),2:((428,434),(45,41)),3:((146,271),(32,32)),4:((370,557),(43,39))}"
41,"{0:((142,1181),(39,39)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((367,549),(40,38))}"
42,"{0:((141,1182),(40,38)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((363,541),(41,37))}"
43,"{0:((141,1182),(39,39)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((145,272),(33,32)),4:((359,535),(39,37))}"
44,"{0:((141,1182),(39,39)),1:((102,250),(35,34)),2:((428,435),(45,42)),3:((146,272),(32,32)),4:((353,523),(43,39))}"
45,"{0:((142,1183),(38,37)),1:((102,250),(35,34)),2:((428,435),(45,42)),3:((146,272),(32,32)),4:((350,514),(39,37))}"
46,"{0:((142,1183),(39,38)),1:((102,250),(35,34)),2:((428,435),(45,42)),3:((146,272),(32,32)),4:((344,508),(41,37))}"
47,"{0:((140,1184),(40,37)),1:((102,250),(35,34)),2:((428,435),(45,41)),3:((146,272),(32,32)),4:((340,497),(39,37))}"
48,"{0:((142,1184),(39,39)),1:((102,250),(35,35)),2:((428,435),(45,42)),3:((146,272),(32,32)),4:((336,494),(40,36))}"
49,"{0:((143,1183),(39,37)),1:((102,250),(35,34)),2:((428,435),(45,41)),3:((146,272),(32,32)),4:((330,484),(42,39))}"
50,"{0:((142,1183),(39,37)),1:((102,250),(35,35)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((327,478),(40,36))}"
51,"{0:((142,1183),(39,37)),1:((102,250),(35,34)),2:((428,435),(45,41)),3:((146,272),(32,32)),4:((323,468),(41,37))}"
52,"{0:((142,1183),(39,37)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((324,469),(39,38))}"
53,"{0:((142,1183),(39,38)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((318,462),(41,38))}"
54,"{0:((142,1182),(39,37)),1:((102,250),(35,34)),2:((428,435),(45,42)),3:((146,272),(32,32)),4:((316,455),(40,37))}"
55,"{0:((142,1181),(39,39)),1:((102,250),(35,35)),2:((428,435),(45,42)),3:((146,272),(32,32)),4:((311,446),(40,36))}"
56,"{0:((142,1184),(39,37)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((305,438),(40,36))}"
57,"{0:((142,1183),(39,37)),1:((102,250),(35,34)),2:((428,436),(45,41)),3:((146,272),(32,32)),4:((303,433),(38,38))}"
58,"{0:((141,1182),(39,38)),1:((102,250),(35,34)),2:((428,435),(45,42)),3:((146,272),(32,32)),4:((298,425),(38,38))}"
59,"{1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((293,416),(41,37))}"
60,"{1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((291,411),(40,36))}"
61,"{1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((285,401),(41,37))}"
62,"{1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((283,398),(39,38))}"
63,"{1:((102,250),(35,34)),2:((428,435),(45,42)),3:((146,272),(32,32)),4:((280,391),(39,35))}"
64,"{1:((102,250),(35,35)),2:((428,435),(45,41)),3:((146,272),(32,32)),4:((273,382),(41,39))}"
